mgen_id	sample_id	plate_number	plate_well	filename_r1	filename_r2	mgen_library_notes	sra_accession
SS01066	SS01066	1	D04	2019-08-21/Mg1D04_S40_R1_001.fastq.gz	2019-08-21/Mg1D04_S40_R2_001.fastq.gz		SRR14874737
SS01068	SS01068	1	D05	2019-08-21/Mg1D05_S41_R1_001.fastq.gz	2019-08-21/Mg1D05_S41_R2_001.fastq.gz		SRR14874735
SS01069	SS01069	1	D06	2019-08-21/Mg1D06_S42_R1_001.fastq.gz	2019-08-21/Mg1D06_S42_R2_001.fastq.gz		SRR14874734
SS01073	SS01073	1	D07	2019-08-21/Mg1D07_S43_R1_001.fastq.gz	2019-08-21/Mg1D07_S43_R2_001.fastq.gz		SRR14874733
SS01072	SS01072	1	D08	2019-08-21/Mg1D08_S44_R1_001.fastq.gz	2019-08-21/Mg1D08_S44_R2_001.fastq.gz		SRR14874732
SS01075	SS01075	1	D09	2019-08-21/Mg1D09_S45_R1_001.fastq.gz	2019-08-21/Mg1D09_S45_R2_001.fastq.gz		SRR14874731
SS01076	SS01076	1	D10	2019-08-21/Mg1D10_S46_R1_001.fastq.gz	2019-08-21/Mg1D10_S46_R2_001.fastq.gz		SRR14874730
SS01078	SS01078	1	D11	2019-08-21/Mg1D11_S47_R1_001.fastq.gz	2019-08-21/Mg1D11_S47_R2_001.fastq.gz		SRR14874729
SS01088	SS01088	1	D12	2019-08-21/Mg1D12_S48_R1_001.fastq.gz	2019-08-21/Mg1D12_S48_R2_001.fastq.gz		SRR14874728
SS01080	SS01080	1	E01	2019-08-21/Mg1E01_S49_R1_001.fastq.gz	2019-08-21/Mg1E01_S49_R2_001.fastq.gz		SRR14874727
SS01081	SS01081	1	E02	2019-08-21/Mg1E02_S50_R1_001.fastq.gz	2019-08-21/Mg1E02_S50_R2_001.fastq.gz		SRR14874726
SS01084	SS01084	1	E03	2019-08-21/Mg1E03_S51_R1_001.fastq.gz	2019-08-21/Mg1E03_S51_R2_001.fastq.gz		SRR14874724
SS01094	SS01094	1	E04	2019-08-21/Mg1E04_S52_R1_001.fastq.gz	2019-08-21/Mg1E04_S52_R2_001.fastq.gz		SRR14874723
SS01087	SS01087	1	E05	2019-08-21/Mg1E05_S53_R1_001.fastq.gz	2019-08-21/Mg1E05_S53_R2_001.fastq.gz		SRR14874722
